Two Theta (degrees),Intensity
24.35125295756316,58.807648
24.388757914348147,58.622276
24.42626287113314,58.48743
24.463767827918126,58.524857
24.501272784703115,58.479202
24.538777741488104,58.482456
24.576282698273094,58.33513
24.613787655058083,58.282784
24.651292611843072,58.072933
24.68879756862806,57.97399
24.726302525413047,57.956722
24.763807482198036,57.85623
24.801312438983025,57.72162
24.838817395768015,57.786358
24.876322352553,57.756393
24.913827309337993,57.613068
24.95133226612298,57.435707
24.988837222907968,57.37235
25.026342179692957,57.243954
25.063847136477946,57.164814
25.101352093262935,57.02487
25.138857050047925,57.111477
25.176362006832914,57.365223
25.2138669636179,57.119198
25.251371920402892,56.92997
25.288876877187878,56.810566
25.326381833972867,56.885002
25.363886790757853,56.84882
25.401391747542846,56.792084
25.43889670432783,56.50189
25.47640166111282,56.537727
25.51390661789781,56.59726
25.5514115746828,56.603878
25.588916531467785,56.62354
25.626421488252777,56.519253
25.663926445037767,56.538372
25.701431401822752,56.528725
25.738936358607745,56.424248
25.77644131539273,56.628517
25.81394627217772,56.454086
25.85145122896271,56.509148
25.8889561857477,56.430912
25.926461142532684,56.12097
25.963966099317677,56.191833
26.001471056102663,55.994144
26.03897601288765,56.041718
26.076480969672637,56.02885
26.11398592645763,56.036587
26.151490883242616,56.033577
26.188995840027605,55.926773
26.226500796812594,55.897793
26.264005753597583,55.719196
26.301510710382573,55.632954
26.339015667167562,55.628716
26.37652062395255,55.48871
26.414025580737537,55.436047
26.45153053752253,55.451057
26.489035494307515,55.29915
26.526540451092504,55.30237
26.564045407877494,55.394093
26.601550364662483,55.376038
26.63905532144747,55.17683
26.676560278232458,55.101902
26.714065235017447,55.24137
26.751570191802436,55.365944
26.789075148587425,55.148197
26.826580105372415,55.073776
26.864085062157404,55.041523
26.90159001894239,55.083073
26.939094975727382,55.26478
26.976599932512368,55.124794
27.014104889297357,55.187153
27.051609846082346,55.11535
27.089114802867336,55.02985
27.12661975965232,54.88153
27.164124716437314,54.827007
27.2016296732223,54.95619
27.23913463000729,54.917805
27.276639586792278,54.846546
27.314144543577267,54.94674
27.351649500362253,55.063137
27.389154457147242,54.93218
27.426659413932235,54.955406
27.46416437071722,54.981712
27.50166932750221,54.76721
27.5391742842872,54.62033
27.57667924107219,54.68802
27.614184197857174,54.87385
27.651689154642167,54.768208
27.689194111427152,54.69412
27.72669906821214,54.82675
27.76420402499713,54.78167
27.80170898178212,54.93318
27.839213938567106,55.025997
27.8767188953521,54.903477
27.914223852137084,54.977596
27.951728808922073,54.96908
27.989233765707063,54.864567
28.026738722492052,54.923763
28.06424367927704,54.906963
28.101748636062027,54.753296
28.13925359284702,54.45328
28.176758549632005,54.483646
28.214263506416994,54.378822
28.251768463201984,54.48866
28.289273419986973,54.529526
28.32677837677196,54.454994
28.36428333355695,54.089123
28.401788290341937,54.066124
28.439293247126926,54.460205
28.476798203911915,54.282803
28.514303160696905,54.17106
28.551808117481894,54.19331
28.589313074266883,53.984383
28.626818031051872,53.996037
28.664322987836858,53.98828
28.701827944621847,54.11516
28.73933290140684,53.877254
28.77683785819183,53.82538
28.814342814976815,53.79976
28.851847771761804,53.81234
28.88935272854679,53.90261
28.92685768533178,53.99177
28.96436264211677,53.96057
29.00186759890176,54.004143
29.039372555686747,54.04207
29.076877512471736,54.095448
29.114382469256725,54.066517
29.15188742604171,54.06029
29.1893923828267,53.769947
29.226897339611686,53.718475
29.264402296396682,53.549866
29.301907253181668,53.681923
29.339412209966657,53.898712
29.376917166751642,53.90356
29.41442212353663,54.015324
29.451927080321617,53.815968
29.489432037106614,54.16014
29.5269369938916,54.423786
29.56444195067659,54.22932
29.601946907461574,54.3441
29.639451864246563,54.383724
29.676956821031553,54.563812
29.71446177781654,54.721596
29.75196673460153,54.796154
29.78947169138652,54.74383
29.82697664817151,54.695023
29.864481604956495,54.685318
29.901986561741484,54.71541
29.93949151852647,54.645424
29.976996475311466,54.56896
30.014501432096452,54.655212
30.05200638888144,54.926273
30.089511345666427,54.935642
30.127016302451416,54.638805
30.164521259236405,54.336018
30.202026216021398,54.48227
30.239531172806384,54.32752
30.277036129591373,54.452103
30.314541086376362,54.717537
30.352046043161348,54.91024
30.389550999946337,54.702698
30.427055956731323,54.62215
30.46456091351632,54.733032
30.502065870301305,54.844
30.539570827086294,54.50327
30.57707578387128,54.242405
30.61458074065627,54.581745
30.652085697441255,54.50723
30.68959065422625,54.495857
30.727095611011237,54.690098
30.764600567796226,54.674026
30.80210552458121,54.60558
30.8396104813662,54.585953
30.87711543815119,54.480118
30.914620394936183,54.45636
