2theta Intensity
3.061906199972980414e+00 2.970409691333770752e-01
3.068231051983098645e+00 2.867090106010437012e-01
3.074555903993216877e+00 2.716630995273590088e-01
3.080880756003335552e+00 2.755933701992034912e-01
3.087205608013453784e+00 2.805799841880798340e-01
3.093530460023572015e+00 2.916559875011444092e-01
3.099855312033690691e+00 2.833296358585357666e-01
3.106180164043808922e+00 2.988727688789367676e-01
3.112505016053927154e+00 3.325434625148773193e-01
3.118829868064045829e+00 3.862614929676055908e-01
3.125154720074164061e+00 3.818911314010620117e-01
3.131479572084282292e+00 3.809682428836822510e-01
3.137804424094400968e+00 3.921918272972106934e-01
3.144129276104519199e+00 4.344262182712554932e-01
3.150454128114637431e+00 4.487625658512115479e-01
3.156778980124756107e+00 4.566544890403747559e-01
3.163103832134874338e+00 4.655502438545227051e-01
3.169428684144992570e+00 4.525763988494873047e-01
3.175753536155111245e+00 4.430450499057769775e-01
3.182078388165229477e+00 4.682117700576782227e-01
3.188403240175347708e+00 5.066649913787841797e-01
3.194728092185466384e+00 5.338294506072998047e-01
3.201052944195584615e+00 5.605393648147583008e-01
3.207377796205702847e+00 5.812790989875793457e-01
3.213702648215821522e+00 6.266438961029052734e-01
3.220027500225939754e+00 6.292527318000793457e-01
3.226352352236057985e+00 6.680310368537902832e-01
3.232677204246176661e+00 6.650894880294799805e-01
3.239002056256294892e+00 6.609833836555480957e-01
3.245326908266413124e+00 6.475502252578735352e-01
3.251651760276531800e+00 6.428592801094055176e-01
3.257976612286650031e+00 6.389755606651306152e-01
3.264301464296768263e+00 6.434173583984375000e-01
3.270626316306886938e+00 6.426877975463867188e-01
3.276951168317005170e+00 6.210426688194274902e-01
3.283276020327123401e+00 5.976638197898864746e-01
3.289600872337242077e+00 5.825135707855224609e-01
3.295925724347360308e+00 5.802856087684631348e-01
3.302250576357478540e+00 5.888836979866027832e-01
3.308575428367597215e+00 6.139624118804931641e-01
3.314900280377715447e+00 6.156503558158874512e-01
