2theta Intensity
3.106180164043808922e+00 9.470699310302734375e+00
3.112505016053927154e+00 9.869847297668457031e+00
3.118829868064045829e+00 1.033449745178222656e+01
3.125154720074164061e+00 1.055040264129638672e+01
3.131479572084282292e+00 1.070419597625732422e+01
3.137804424094400968e+00 1.108620548248291016e+01
3.144129276104519199e+00 1.173672294616699219e+01
3.150454128114637431e+00 1.201955223083496094e+01
3.156778980124756107e+00 1.226632595062255859e+01
3.163103832134874338e+00 1.247477149963378906e+01
3.169428684144992570e+00 1.283770656585693359e+01
3.175753536155111245e+00 1.289501571655273438e+01
3.182078388165229477e+00 1.306281948089599609e+01
3.188403240175347708e+00 1.344771671295166016e+01
3.194728092185466384e+00 1.373956775665283203e+01
3.201052944195584615e+00 1.398932456970214844e+01
3.207377796205702847e+00 1.443957424163818359e+01
3.213702648215821522e+00 1.490866947174072266e+01
3.220027500225939754e+00 1.505865192413330078e+01
3.226352352236057985e+00 1.539583969116210938e+01
3.232677204246176661e+00 1.578796005249023438e+01
3.239002056256294892e+00 1.631389617919921875e+01
3.245326908266413124e+00 1.632287216186523438e+01
3.251651760276531800e+00 1.643823623657226562e+01
3.257976612286650031e+00 1.669284439086914062e+01
3.264301464296768263e+00 1.661746597290039062e+01
3.270626316306886938e+00 1.696756362915039062e+01
3.276951168317005170e+00 1.746786880493164062e+01
3.283276020327123401e+00 1.789660453796386719e+01
3.289600872337242077e+00 1.818686485290527344e+01
3.295925724347360308e+00 1.846870613098144531e+01
3.302250576357478540e+00 1.856783294677734375e+01
3.308575428367597215e+00 1.904767799377441406e+01
3.314900280377715447e+00 1.922377014160156250e+01
3.321225132387833678e+00 1.929354858398437500e+01
3.327549984397952354e+00 1.942328453063964844e+01
3.333874836408070585e+00 1.963471412658691406e+01
3.340199688418188817e+00 1.984844017028808594e+01
3.346524540428307493e+00 2.041803741455078125e+01
3.352849392438425724e+00 2.071561241149902344e+01
3.359174244448543956e+00 2.078246116638183594e+01
3.365499096458662631e+00 2.096350860595703125e+01
3.371823948468780863e+00 2.161890220642089844e+01
3.378148800478899094e+00 2.170707130432128906e+01
3.384473652489017770e+00 2.198835372924804688e+01
3.390798504499136001e+00 2.221740913391113281e+01
3.397123356509254233e+00 2.279841232299804688e+01
3.403448208519372908e+00 2.332892608642578125e+01
3.409773060529491140e+00 2.340214347839355469e+01
3.416097912539609371e+00 2.355410766601562500e+01
3.422422764549728047e+00 2.387454986572265625e+01
3.428747616559846279e+00 2.401015853881835938e+01
3.435072468569964510e+00 2.434644508361816406e+01
3.441397320580083186e+00 2.481595802307128906e+01
3.447722172590201417e+00 2.508758163452148438e+01
3.454047024600319649e+00 2.534392929077148438e+01
3.460371876610438324e+00 2.582951736450195312e+01
3.466696728620556556e+00 2.612161254882812500e+01
