2theta Intensity
2.536943483133155208e+00 2.164706945419311523e+00
2.543268335143273440e+00 2.181175708770751953e+00
2.549593187153391671e+00 2.134939432144165039e+00
2.555918039163510347e+00 2.046726942062377930e+00
2.562242891173628578e+00 2.050129652023315430e+00
2.568567743183746810e+00 1.998285531997680664e+00
2.574892595193865485e+00 1.981062531471252441e+00
2.581217447203983717e+00 1.934246063232421875e+00
2.587542299214101948e+00 1.984830617904663086e+00
2.593867151224220624e+00 1.989009618759155273e+00
2.600192003234338856e+00 2.086904048919677734e+00
2.606516855244457087e+00 2.124690055847167969e+00
2.612841707254575319e+00 2.139358043670654297e+00
2.619166559264693994e+00 2.141537904739379883e+00
2.625491411274812226e+00 2.164795875549316406e+00
2.631816263284930457e+00 2.160558700561523438e+00
2.638141115295049133e+00 2.066559076309204102e+00
2.644465967305167364e+00 2.065923452377319336e+00
2.650790819315285596e+00 2.070107460021972656e+00
2.657115671325404271e+00 2.023294687271118164e+00
2.663440523335522503e+00 1.964158177375793457e+00
2.669765375345640734e+00 1.984619855880737305e+00
2.676090227355759410e+00 2.004955530166625977e+00
2.682415079365877641e+00 2.018238306045532227e+00
2.688739931375995873e+00 1.976390719413757324e+00
2.695064783386114549e+00 2.077570199966430664e+00
2.701389635396232780e+00 2.172857284545898438e+00
2.707714487406351012e+00 2.220166683197021484e+00
2.714039339416469687e+00 2.201051473617553711e+00
2.720364191426587919e+00 2.188565731048583984e+00
2.726689043436706150e+00 2.164357185363769531e+00
2.733013895446824826e+00 2.165273904800415039e+00
2.739338747456943057e+00 2.152471542358398438e+00
2.745663599467061289e+00 2.170833110809326172e+00
2.751988451477179964e+00 2.170272588729858398e+00
2.758313303487298196e+00 2.153157472610473633e+00
2.764638155497416427e+00 2.194828987121582031e+00
2.770963007507535103e+00 2.217433452606201172e+00
2.777287859517653335e+00 2.238804817199707031e+00
2.783612711527771566e+00 2.262865781784057617e+00
2.789937563537890242e+00 2.316995859146118164e+00
2.796262415548008473e+00 2.330903291702270508e+00
2.802587267558126705e+00 2.379762887954711914e+00
2.808912119568245380e+00 2.442328691482543945e+00
2.815236971578363612e+00 2.524966955184936523e+00
2.821561823588481843e+00 2.584028005599975586e+00
2.827886675598600519e+00 2.501424312591552734e+00
2.834211527608718750e+00 2.499469995498657227e+00
2.840536379618836982e+00 2.498112678527832031e+00
2.846861231628955657e+00 2.482102155685424805e+00
2.853186083639073889e+00 2.491796731948852539e+00
2.859510935649192120e+00 2.585226774215698242e+00
2.865835787659310352e+00 2.655469655990600586e+00
2.872160639669429028e+00 2.636066675186157227e+00
